PolymerEnvironmentID,PolymerID,Category,Agent,Conditions,Verdict,Finding,SourceID,Locator,Notes
PB00168,PA66,alkali,Sodium hydroxide (caustic soda) 40% aqueous solution,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 9 medium table, Sodium hydroxide (caustic soda) 40% aqueous solution","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00169,PA12,alkali,Sodium hydroxide (caustic soda) 40% aqueous solution,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilamid L (polyamide 12),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 9 medium table, Sodium hydroxide (caustic soda) 40% aqueous solution","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid L (polyamide 12)."
PB00170,PA612,alkali,Sodium hydroxide (caustic soda) 40% aqueous solution,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,"●●● in column Grilamid S, D (polyamide 610, 1010 and 612)",R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 9 medium table, Sodium hydroxide (caustic soda) 40% aqueous solution","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid S, D (polyamide 610, 1010 and 612)."
PB00171,PPA,alkali,Sodium hydroxide (caustic soda) 40% aqueous solution,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grivory HT (polyphthalamide),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 9 medium table, Sodium hydroxide (caustic soda) 40% aqueous solution","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grivory HT (polyphthalamide)."
PB00172,PA6,organic-solvent,Acetone technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 4 medium table, Acetone technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00173,PA66,organic-solvent,Acetone technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 4 medium table, Acetone technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00174,PA12,organic-solvent,Acetone technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilamid L (polyamide 12),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 4 medium table, Acetone technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid L (polyamide 12)."
PB00175,PA612,organic-solvent,Acetone technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,"●●● in column Grilamid S, D (polyamide 610, 1010 and 612)",R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 4 medium table, Acetone technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid S, D (polyamide 610, 1010 and 612)."
PB00176,PPA,organic-solvent,Acetone technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grivory HT (polyphthalamide),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 4 medium table, Acetone technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grivory HT (polyphthalamide)."
PB00177,PA6,organic-solvent,Ethanol technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",limited,●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 6 medium table, Ethanol technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00178,PA66,organic-solvent,Ethanol technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",limited,●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 6 medium table, Ethanol technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00179,PA12,organic-solvent,Ethanol technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilamid L (polyamide 12),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 6 medium table, Ethanol technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid L (polyamide 12)."
PB00180,PA612,organic-solvent,Ethanol technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",limited,"●● in column Grilamid S, D (polyamide 610, 1010 and 612)",R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 6 medium table, Ethanol technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid S, D (polyamide 610, 1010 and 612)."
PB00181,PPA,organic-solvent,Ethanol technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grivory HT (polyphthalamide),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 6 medium table, Ethanol technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grivory HT (polyphthalamide)."
PB00182,PA6,organic-solvent,Toluene technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 10 medium table, Toluene technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00183,PA66,organic-solvent,Toluene technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 10 medium table, Toluene technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00184,PA12,organic-solvent,Toluene technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilamid L (polyamide 12),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 10 medium table, Toluene technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid L (polyamide 12)."
PB00185,PA612,organic-solvent,Toluene technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,"●●● in column Grilamid S, D (polyamide 610, 1010 and 612)",R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 10 medium table, Toluene technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid S, D (polyamide 610, 1010 and 612)."
PB00186,PPA,organic-solvent,Toluene technical grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grivory HT (polyphthalamide),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 10 medium table, Toluene technical grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grivory HT (polyphthalamide)."
PB00187,PA6,oil-grease,Mineral oil commercial grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Mineral oil commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00188,PA66,oil-grease,Mineral oil commercial grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Mineral oil commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00189,PA12,oil-grease,Mineral oil commercial grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilamid L (polyamide 12),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Mineral oil commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid L (polyamide 12)."
PB00190,PA612,oil-grease,Mineral oil commercial grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,"●●● in column Grilamid S, D (polyamide 610, 1010 and 612)",R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Mineral oil commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid S, D (polyamide 610, 1010 and 612)."
PB00191,PPA,oil-grease,Mineral oil commercial grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grivory HT (polyphthalamide),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Mineral oil commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grivory HT (polyphthalamide)."
PB00192,PA6,oil-grease,Engine oil commercial grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 6 medium table, Engine oil commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00193,PA66,oil-grease,Engine oil commercial grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 6 medium table, Engine oil commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00194,PA12,oil-grease,Engine oil commercial grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilamid L (polyamide 12),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 6 medium table, Engine oil commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid L (polyamide 12)."
PB00195,PA612,oil-grease,Engine oil commercial grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,"●●● in column Grilamid S, D (polyamide 610, 1010 and 612)",R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 6 medium table, Engine oil commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid S, D (polyamide 610, 1010 and 612)."
PB00196,PPA,oil-grease,Engine oil commercial grade,"ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grivory HT (polyphthalamide),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 6 medium table, Engine oil commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grivory HT (polyphthalamide)."
PB00197,PA6,oil-grease,"Petrol, lead-free commercial grade","ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Petrol, lead-free commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00198,PA66,oil-grease,"Petrol, lead-free commercial grade","ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Petrol, lead-free commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00199,PA12,oil-grease,"Petrol, lead-free commercial grade","ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilamid L (polyamide 12),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Petrol, lead-free commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid L (polyamide 12)."
PB00200,PA612,oil-grease,"Petrol, lead-free commercial grade","ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,"●●● in column Grilamid S, D (polyamide 610, 1010 and 612)",R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Petrol, lead-free commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid S, D (polyamide 610, 1010 and 612)."
PB00201,PPA,oil-grease,"Petrol, lead-free commercial grade","ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grivory HT (polyphthalamide),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Petrol, lead-free commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grivory HT (polyphthalamide)."
PB00202,PA6,oil-grease,"Petrol, E85 commercial grade","ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",limited,●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Petrol, E85 commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00203,PA66,oil-grease,"Petrol, E85 commercial grade","ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",limited,●● in column Grilon (polyamide 6 and 66),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Petrol, E85 commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilon (polyamide 6 and 66)."
PB00204,PA12,oil-grease,"Petrol, E85 commercial grade","ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grilamid L (polyamide 12),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Petrol, E85 commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid L (polyamide 12)."
PB00205,PA612,oil-grease,"Petrol, E85 commercial grade","ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,"●●● in column Grilamid S, D (polyamide 610, 1010 and 612)",R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Petrol, E85 commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grilamid S, D (polyamide 610, 1010 and 612)."
PB00206,PPA,oil-grease,"Petrol, E85 commercial grade","ISO standard test bars stored in the medium at room temperature for up to 12 months, stress-free",resistant,●●● in column Grivory HT (polyphthalamide),R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,"p. 8 medium table, Petrol, E85 commercial grade","Key: ●●● resistant (no or little reversible change in weight and/or dimensions possible); ●● limited resistance (changes in weight, dimension or even irreversible changes to property values possible after longer exposure; consultation recommended); ● not resistant (may be used under specific conditions, e.g. short-term contact); ○ strong attack or soluble. Concentrations are the maximum tested; the same or better resistance is expected at lower concentrations; unreinforced-grade data are also valid for reinforced grades. Column read: Grivory HT (polyphthalamide)."
PB00207,PA6,hydrolysis,Water or aqueous solutions at high temperature,High temperature,limited,"All polyamides take up water when kept in a moist environment. At room temperature this is a physical process which is reversible. Irreversible chemical damage to the material can only be caused by water or aqueous solutions at high temperatures. This is referred to as hydrolysis. Water uptake is mainly dependent on the amide group concentration of the individual polyamide type. For this reason, polyamide 12 is considerably more resistant to hydrolysis than polyamide 6 and polyamide 66.",R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,p. 3 Hydrolysis resistance,Not applicable
PB00208,PA66,hydrolysis,Water or aqueous solutions at high temperature,High temperature,limited,"All polyamides take up water when kept in a moist environment. At room temperature this is a physical process which is reversible. Irreversible chemical damage to the material can only be caused by water or aqueous solutions at high temperatures. This is referred to as hydrolysis. Water uptake is mainly dependent on the amide group concentration of the individual polyamide type. For this reason, polyamide 12 is considerably more resistant to hydrolysis than polyamide 6 and polyamide 66.",R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,p. 3 Hydrolysis resistance,Not applicable
PB00209,PA12,hydrolysis,Water or aqueous solutions at high temperature,High temperature,limited,Irreversible chemical damage to the material can only be caused by water or aqueous solutions at high temperatures. This is referred to as hydrolysis... polyamide 12 is considerably more resistant to hydrolysis than polyamide 6 and polyamide 66.,R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,p. 3 Hydrolysis resistance,Not applicable
PB00210,PA612,hydrolysis,Water or aqueous solutions at high temperature,High temperature,limited,All polyamides take up water when kept in a moist environment... Irreversible chemical damage to the material can only be caused by water or aqueous solutions at high temperatures. This is referred to as hydrolysis.,R-EMS-GRIVORY-RESISTANCE-TO-CHEMICALS,p. 3 Hydrolysis resistance,Class statement for all polyamides; PA612 is not singled out.
