Verdict,Note,measurementid,material,manufacturer,grade,property,value,unit,median,z,group_grades,direction,specimen_form,sourceid,locator,SHA256,URL
wrong-condition,"Prints ""Elongation at break(X-Y) ISO527/2 50mm/min % 25""; credible, but footnote [1] ""Test the spline printing speed 45 mm/s ... Fill 100%"" makes it printed; not recorded.",V008714,PC,SUNLU,PC,Elongation at break,25,%,4.53,10.4,8,XY,unstated,R-SUNLU-PC-TDS,p. 1: Elongation at break(X-Y) ISO527/2 50mm/min %,f551442b713b1eb1b07cd77d0072bf53404bd0f5a7551ba48309d6de07d5ca64,https://3d.nice-cdn.com/upload/file/PC-TDS.pdf
implausible,"Prints ""HDT A 93 °C ISO 75"" in the ""Injection"" column (page image): an amorphous PETG cannot deflect at 1.8 MPa 13 °C above its ~80 °C Tg, even with 10% CF. The moulded specimen is also not recorded.",V009087,PETG-CF,Nobufil,PETG CF,HDT,93,°C,70,10.3,12,Not applicable,unstated,R-3DJAKE-3DJAKE-TDS-PETG-CF-23-12,p. 1: HDT A,b9b038fa0713d5a6e5379bcfcc0a334ddf338d0fceae63d8c12d189204956e46,https://3d.nice-cdn.com/upload/file/TDS_PETG_CF_23.12.pdf
wrong-condition,"Prints ""Flexural modulus 3500 MPa ISO 178"" in the ""Injection"" column of the ""FDM H / Injection"" table (page image); credible, but moulded, and the row says Not published.",V009008,PC-CF,Nobufil,PCx CF,Flexural modulus,3.5,GPa,2.3536,10.2,3,Unstated,unstated,R-3DJAKE-3DJAKE-c9047f-230cb5f262c040bb8f570d174a23b353,p. 1: Flexural modulus,7eba323dde006333991d4da5bef1ae051ce02447608048ea076e164e7bc6023c,https://3d.nice-cdn.com/upload/file/c9047f_230cb5f262c040bb8f570d174a23b353.pdf
variant,"Prints ""Density 1.39 g/cm³"" (modulus 4400 MPa): beyond unfilled PLA (≈1.24), so this ""bioplastic"" carries an unnamed filler; Variant unset, and the sheet never calls it PLA.",V006192,PLA,Fabru,GreenTEC Pro,Density,1390,kg/m³,1240,10.1,140,Not applicable,unstated,R-FABRU-4701-material-data-sheet-GreenTEC-Pro-purefil,p. 1: Density,0fae55072b780857c7ac1ae1cb5270c6d724c8aa89916f988b4c83170630fdb2,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/4701%2Fmaterial+data+sheet+GreenTEC+Pro+purefil.pdf
real,"Prints ""Vicat softening temperature A 149 °C"" with ""B/50 (ISO 306)"" beneath (page image); credible for PC. The row's Standard / load is Not published.",V005613,PC,Fabru / purefil,Polycarbonat (PC),Vicat softening temperature,149,°C,119,10.1,10,Not applicable,unstated,R-FABRU-PUREFIL-3512-material-data-sheet-PC-purefil,p. 1: Vicat softening temperature A,51b6f40dcca93ed08ed13b952a161dfffeba3fc31a9a08c4d8695da7e622fec4,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/3512%2Fmaterial+data+sheet+PC+purefil.pdf
wrong-condition,"Prints ""Elongation at break(X-Y) ISO527/2 50mm/min % 10""; footnote [1] makes it a printed spline, not recorded. Density 1.016 shows little glass in this ""ABS-GF"".",V008542,ABS-GF,SUNLU,ABS-GF,Elongation at break,10,%,2.55,10,4,XY,unstated,R-SUNLU-ABS-GF-TDS,p. 1: Elongation at break(X-Y) ISO527/2 50mm/min %,c3b7ec6fb0875c943c690979ade2b637ffb580293205cb3cae004575948682d6,https://3d.nice-cdn.com/upload/file/ABS-GF_TDS.pdf
implausible,"Prints ""Tensile Strength GB/T 1040 11.1 MPa"" beside flexural strength 75.34 MPa: a PLA's tensile strength cannot be a seventh of its flexural. Moulded (p. 2) also not recorded.",V007105,PLA Silk,eSUN,ePLA-Silk Rainbow,Tensile strength (endpoint unspecified),11.1,MPa,60.6,-9.8,5,Unstated,unstated,S-PEBA-79f73c22-1,p. 1: Tensile Strength GB/T 1040,9c76256a489aef0328477d91017e69324f6d89558d4a1c6037c34050493891fe,https://3d.nice-cdn.com/upload/file/79f73c22_1_.pdf
real,"Prints ""Glass Transition(Tg) ASTM D7426 10℃/min ℃ 65.5""; low for PETG, but consistent with the same sheet's HDT 63 °C and Vicat 68 °C.",V008415,PETG,SUNLU,PETG,Glass transition temperature,65.5,°C,80,-9.8,21,Not applicable,unstated,R-SUNLU-PETG,p. 1: Glass Transition(Tg) ASTM D7426 10℃/min ℃,8ec15117dfe18781e591a7bcd4ca3f790878386f48a7d00cf25c18af9735f7a6,https://3d.nice-cdn.com/upload/file/PETG.pdf
real,"Prints ""Glass Transition(Tg) ISO11357-3 10℃/min ℃ 65.5"" (HDT 70); low for PETG but SUNLU's PETG sheets print it consistently, and a modified copolyester can sit there.",V008447,PETG,SUNLU,High Speed Matte PETG,Glass transition temperature,65.5,°C,80,-9.8,21,Not applicable,unstated,R-SUNLU-High-Speed-Matte-PETG-TDS,p. 1: Glass Transition(Tg) ISO11357-3 10℃/min ℃,9cf76ba6b1b7a91671d8be801dcbb143a5088aa5d952513cade09e09ceee7143,https://3d.nice-cdn.com/upload/file/High_Speed_Matte_PETG-TDS.pdf
real,"Prints ""Tensile Strength MD ASTM D882 110,3 MPa"" (TD 144,7) on a film data sheet; the row records it as a film specimen, and 110 MPa is credible for oriented PLA film.",V007357,PLA,3D4Makers,PLA,Tensile strength (endpoint unspecified),110.3,MPa,53,9.7,11,Unstated,other,R-3D4MAKERS-TDS-PLA-Filament,p. 1: Tensile Strength MD ASTM D882,deaab6d5b6b509ba7dd97c2e4fe5f75879a8472abc640dd04a41ae28138e3787,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PLA_Filament.pdf?1776946288798946561
real,"Prints ""Tensile strength 110 Mpa (MD) ASTM D882""; the row records it as a film specimen, and 110 MPa is credible for oriented PLA film.",V009582,PLA,FormFutura,EasyFil PLA,Tensile strength (endpoint unspecified),110,MPa,53,9.6,11,Unstated,other,S-PET-TDS-EasyFil-PLA,p. 1: Tensile strength,3801aa84cd634c62ed3f468fba87987752591102b980900ea52c4d761ce43d1a,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/FormFutura%20Filaments/EasyFil%20PLA/Data%20Sheets%20and%20Declarations/TDS%20-%20EasyFil%20PLA.pdf
wrong-condition,"Prints ""Elongation at Break GB/T 1040 90 %"" from ""the injection molding spline test"" (p. 2), not recorded. Also a declared toughened PLA (flex modulus 1477): grade Variant unset.",V007943,PLA,eSUN,ePLA ST,Elongation at break,90,%,9.4,9.5,51,Unstated,unstated,S-PEBA-eSUN-ePLA-ST-Filament-TDS-V4-0,p. 1: Elongation at Break GB/T 1040,86425190ca99099bd5c2e4d1a5d12153212dc776bdca444438bc90014bb109a3,https://3d.nice-cdn.com/upload/file/eSUN_ePLA-ST-Filament_TDS_V4.0.pdf
real,"Prints ""Vicat Softening Temperature ISO 306/A50 215 ºC""; credible for PEI (Ultem 1010), whose HDT on the same sheet is 200/190 ºC.",V006879,PEI / ULTEM,3D4Makers,PEI Filament Ultem 1010,Vicat softening temperature,215,°C,173,9.4,3,Not applicable,unstated,R-3D4MAKERS-TDS-PEI-ULTEM-1010,p. 2: Vicat Softening Temperature ISO 306/A50,51920bd5d79d8780fb6c64d016716c79972fa0b7164449481889d1387d1ce95f,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PEI_ULTEM_1010.pdf?5589548939196691641
variant,"Prints ""Specific gravity 1.38 g/cc ISO 1183"" beside tensile modulus 3973 MPa: beyond unfilled PLA (≈1.24), so the ""modified"" matt PLA carries a filler it does not name; grade Variant not set.",V007667,PLA,FormFutura,Matt PLA,Density,1380,kg/m³,1240,9.4,140,Not applicable,unstated,S-PET-TDS-Matt-PLA,p. 1: Specific gravity,8589b6c9a4536c964cc04a7fae6fa60037144cfb29af1e6a5a09606c45713773,https://3d.nice-cdn.com/upload/file/TDS_-_Matt_PLA.pdf
real,"Prints ""Tensile Strength @ Break ASTM D638 Kgf/cm2 540"" (= 52.96 MPa; yield 460, elongation at break 340%); credible for PCTG, which strain-hardens past yield.",V007397,PCTG,3D-Fuel,3D,Tensile break strength,52.95591,MPa,46,9.4,4,Unstated,unstated,R-3D-FUEL-3D-Fuel-Pro-PCTG-TDS-9-2-25,p. 2: Tensile Strength @ Break ASTM D638 Kgf/cm2,e9c47a5938651c9e0bb77f9f7ee86cc6bf4674d2bc5633a20544900ad4a2dc55,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/3D-Fuel_Pro_PCTG_TDS_9-2-25.pdf?v=1756827548
real,"Prints ""Tensile strength (X-Y) ASTM D638 (ISO 527, GB/T 1040) 23.11 ± 0.63 (MPa)"" on 100%-infill printed specimens (elongation 462%); credible for a 95A TPU.",V003430,TPU,Polymaker,PolyFlex TPU95-HF,Tensile strength (endpoint unspecified),23.11,MPa,30,-9.3,5,XY,printed,S-POLYCN-PolyFlex-TPU95-HF-TDS-V4-2,"p. 1: Tensile strength (X-Y) ASTM D638 (ISO 527, GB/T 1040)",2a7c8c5b74b5a89f521153f8b3076e6285c09ab6536952013e51467063bc38fa,https://3d.nice-cdn.com/upload/file/PolyFlex_TPU95_HF_TDS_V4.2.pdf
real,"Prints ""Melt index 270°C, 2.16kg 36.9 g/10min""; at 270 °C a glass-filled PET flows this freely, so the value is credible (the group mixes lower-temperature MFRs).",V001926,PET-GF,Polymaker,Fiberon PET-GF15,Melt mass-flow rate,36.9,g/10 min,5.3,9.3,3,Not applicable,unstated,R-FIBERON-PETGF15-TDS,Physical properties: Melt index,cdb81cbccd54e790038caf17353bd91172713cb7d35f7d8e16f919124923b37b,https://fiberon.polymaker.com/wp-content/uploads/TDS_FIBERON-PET-GF15_V1.0_EN.pdf
real,"Prints ""IZOD Impact Notched ISO180 4mm, 23℃ KJ/m² 19.8"" for ""PLA with high toughness"" (elongation 20.3%); credible for an impact-modified PLA.",V008270,PLA,SUNLU,PLA,Izod impact strength,19.8,kJ/m²,4.9,9.1,28,Not applicable,unstated,R-SUNLU-SUNLU-PLA-Vivid-Yellow,"p. 1: IZOD Impact Notched ISO180 4mm, 23℃ KJ/m²",35293a3cbf17ba048ea5bf2658489dd070f0c6b7d6510abece4097b0101e73d4,https://3d.nice-cdn.com/upload/file/PLA_.pdf
wrong-condition,"Prints ""Modulus of Elasticity ISO 527 Mpa 3600~4000"" with ""data are obtained from actual printing, and the printed model has not been annealed""; not recorded.",V005314,PET-CF,Flashforge,PET-CF,Tensile modulus,3.6,GPa,6,-9.1,3,Unstated,unstated,D-FLASH-PET-CF-TDS-EN,p. 1: Modulus of Elasticity ISO 527 Mpa,8f40ad360c2b1abe1659374f0226b4efb879a1371f6a5fa54731da88ed630da7,https://after-support.flashforge.jp/uploads/datasheet/tds/PET_CF_TDS_EN.pdf
real,"Prints ""Elongation at break (ISO 527-3) 84 %"" (yield 54 MPa at 13%) for a PLA+ made ""significantly more impact-resistant"" by additives; credible. Note ISO 527-3 is the film/sheet part.",V005584,PLA,Fabru / purefil,Polylactid+ (PLA+),Elongation at break,84,%,9.4,8.8,51,Unstated,unstated,R-FABRU-PUREFIL-8503-Material-data-sheet-PLA-purefil,p. 1: Elongation at break (ISO 527-3),32e8280e196622c91adca1e9235347bdf24ba5d1db65e84194b8946aae3f9046,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/8503%2FMaterial-data-sheet-PLA%2B-purefil.pdf
real,"Prints ""Vicat Softening Temperature ISO 306/B120 212 ºC""; credible for PEI (Ultem 1010).",V006881,PEI / ULTEM,3D4Makers,PEI Filament Ultem 1010,Vicat softening temperature,212,°C,173,8.8,3,Not applicable,unstated,R-3D4MAKERS-TDS-PEI-ULTEM-1010,p. 2: Vicat Softening Temperature ISO 306/B120,51920bd5d79d8780fb6c64d016716c79972fa0b7164449481889d1387d1ce95f,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PEI_ULTEM_1010.pdf?5589548939196691641
real,"Prints ""Density ISO1183 23℃ g/cm³ 1.2"" for a sheet declaring 20% carbon fibre; credible for a CF polyamide, though its Tg 99 °C and Tm 190 °C do not read as PA12.",V008202,PA12-CF,SUNLU,PA12-CF,Density,1200,kg/m³,1070,8.8,9,Not applicable,unstated,R-SUNLU-PA12-CF-TDS,p. 1: Density ISO1183 23℃ g/cm3,055519eef178c1845704d555d4dd99620b4a5b5a36c9d79dce2186c67ea0ed68,https://3d.nice-cdn.com/upload/file/PA12-CF-TDS.pdf
real,"Prints ""Tensile strength 105 Mpa (MD) ASTM D882""; the row records it as a film specimen, and 105 MPa is credible for oriented PLA film.",V009624,PLA,FormFutura,Premium PLA,Tensile strength (endpoint unspecified),105,MPa,53,8.8,11,Unstated,other,S-PET-TDS-Premium-PLA,p. 1: Tensile strength,4ace5b1aeba971f3014dab3170d8e672608cbd510afd646ced676b1691ec243f,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/FormFutura%20Filaments/Premium%20PLA/Data%20Sheets%20and%20Declarations/TDS%20-%20Premium%20PLA.pdf
real,"Prints ""MFR (220 °C / 10 kg) 16 g/10 min ISO 1133""; credible for a CF-ASA at a 10 kg load (the group mixes MFR conditions).",V009417,ASA-CF,3DJake,ASA CF,Melt mass-flow rate,16,g/10 min,4.3,8.8,9,Not applicable,unstated,R-3DJAKE-TDS-3DJAKE-ASA-CF,p. 1: MFR (220 °C / 10 kg),ae2597cc06d55653b706d4225dca854aa14191de650c98ce7d0d5e8a6705e08b,https://3d.nice-cdn.com/upload/file/TDS_3DJAKE_ASA-CF.pdf
real,"Prints ""MFR [g/10 min](1) 6–7 ISO 1133"" with ""(1) 2.16 kg; 230 °C"" on page 2, not page 1 as the locator says; value and condition right. The z is large only because the group's spread is tiny.",V002218,PVB,Prusa Research,PVB Prusament,Melt mass-flow rate,6,g/10 min,6.65,-8.8,5,Not applicable,unstated,S-PVB-PVB-Prusament-TDS-2021-10-EN,p. 1: MFR [g/10 min],35107a38ec9f13051a97d9f47aaf064f85dc1e6242334def8159923c9be9b21b,https://prusament.com/wp-content/uploads/2022/10/PVB_Prusament_TDS_2021_10_EN.pdf
wrong-condition,"Prints ""Izod Impact Strength of Unnotched Specimen (X-Y) 15.5±1.5 KJ/m2""; credible unnotched, but footnote [1] says the test splines were printed (100% fill); not recorded.",V004379,PLA Silk,SUNLU,PLA+ Silk 2.0,Izod impact strength,15.5,kJ/m²,4.645,8.6,3,XY,unstated,R-SUNLU-56889371789540318047,p. 1: 悬臂梁无缺口冲击强度(X-Y) Izod Impact ISO 180 23℃ KJ/m2 Strength of Unnotched Specimen,05905ccb757833a685563516d337fdbd5804d690ee041f84dcfd9f5d6bba2d62,https://media.sunlu.com/prod/20260916/56889371789540318047.pdf?filename=TDS
wrong-condition,"Prints ""Elongation X-Y 5mm/min D3638 % 14.8-17.1"" under ""Mechanical Properties of Printed Samples""; printed not recorded. Tensile modulus 495-592 MPa hints at crosshead strain.",V004846,PA12-CF,Eryone,PA12-CF,Elongation at break,14.8,%,4,8.6,4,XY,unstated,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--25961c,p. 2: Elongation X-Y 5mm/min D3638 %,25961c78c67dfb720ef8fb97d11417375190526737ebcf98621b655513e78148,https://hub.globalso.com/b/file_manager_downLoad?path=/file_manage/3828/20250903/eryone-pa12-cf-tds.pdf
implausible,"Prints ""Elongation at break DIN 53504, S2 % 6.9"" for a 95A TPU whose ""Stress at 300% elongation"" is 29 MPa: it cannot break at 6.9%; the S2 rows (strength 470 N/mm²) look swapped.",V004124,TPU,Extrudr,FLEX MEDIUM MATT,Elongation at break,6.9,%,482.5,-8.6,4,Not applicable,moulded,R-EXTRUDR-flex-medium-matt-TDS-en,"p. 1: Elongation at break DIN 53504, S2 %",2bf239a71be174b030793409c19cff53c03ac0cc887e21a5bdba686aab90c614,https://s3.extrudr.com/extrudr-media/datasheets/tds/tds-en/flex-medium-matt-TDS-en.pdf
real,"Prints ""Vicat Softening Temperature ISO 306/B50 211ºC""; credible for PEI (Ultem 1010).",V006880,PEI / ULTEM,3D4Makers,PEI Filament Ultem 1010,Vicat softening temperature,211,°C,173,8.5,3,Not applicable,unstated,R-3D4MAKERS-TDS-PEI-ULTEM-1010,p. 2: Vicat Softening Temperature ISO 306/B50,51920bd5d79d8780fb6c64d016716c79972fa0b7164449481889d1387d1ce95f,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PEI_ULTEM_1010.pdf?5589548939196691641
real,"Prints ""Density g/cm3 0.40 - 1,07"" for an ASA foaming to ""nearly 2,5 times"" its volume; 0.40 with upper 1.07 is right. Standard / load holds a stray ""3"" (method cell ""-"").",V009444,ASA Aero,colorFabb,LW-ASA,Density,400,kg/m³,1030,-8.5,3,Not applicable,unstated,R-COLORFABB-colorFabb-LW-ASA-TDS,p. 1: Density g/cm3,a390ca138895b644c0eb2b3d813ef3ba98e2385d38aa499d814c20ef66aca518,https://ninjatek.com/wp-content/uploads/colorFabb_LW-ASA_TDS.pdf
implausible,"Prints ""Tensile Stress at Yield 25 MPa D 638"" with yield strain 4.4%, modulus 1874 and break 46.9 MPa: a PETG carries about twice that at 4.4%, and yield below break contradicts it.",V003073,PETG,Spectrum,THE FILAMENT PETG,Tensile yield strength,25,MPa,50,-8.5,21,Unstated,unstated,S-SPECTRUM-eng-tds-the-filament-petg,p. 1: Tensile Stress at Yield,ca9f0c4b9967115147a6740e1f718b181b79e854a9398fc48e4dde7f533f7ba1,https://spectrumfilaments.com/wp-content/uploads/2024/11/eng_tds_the_filament_petg.pdf
implausible,"Prints ""Tensile Stress at Yield 25 MPa D 638"" beside elongation at yield 4.4%, modulus 1874 MPa and break 46.9 MPa: a PETG at 4.4% strain carries about twice that; same template as V003073.",V007586,PETG,Spectrum,THE FILAMENT PETG,Tensile yield strength,25,MPa,50,-8.5,21,Unstated,unstated,S-SPECTRUM-EN-TDS-The-Filament-PETG,p. 1: Tensile Stress at Yield,57b2560bee8d5c88dceb53facd40282bb82943caf8b2e2d62239d7bd6d4f2612,https://3d.nice-cdn.com/upload/file/EN_TDS_The_Filament_PETG.pdf
implausible,"Prints ""Tensile Stress at Yield 25 MPa ASTM D638"" beside ""Elongation at Yield 4,30%"" and modulus 2980 MPa: at 4.3% strain that modulus implies far more than 25 MPa; PETG yields near 50 MPa.",V009540,PETG,FormFutura,EasyFil ePETG,Tensile yield strength,25,MPa,50,-8.5,21,Unstated,unstated,S-PET-TDS-ePETG,p. 1: Tensile Stress at Yield,1d420d2b44a63c18eb88eb26b99951a2e4eee6ca66dcd2db17d2f316e1229dae,https://formfutura.sharepoint.com/sites/downloads/Shared%20Documents/Downloads%20Server/Materials/Filaments/FormFutura%20Filaments/EasyFil%20ePETG/Data%20Sheets%20and%20Declarations/TDS%20-%20ePETG.pdf
implausible,"Prints ""Streckdehnung (ASTM D638) 30 %"" beside Streckspannung 45 MPa, Reissdehnung 35 % and modulus 2160 MPa: an ASA yields at a few percent strain, not 30%.",V005659,ASA,Fabru / purefil,Acrylnitril-Styrol-Acrylester (ASA),Elongation at yield,30,%,5,8.4,4,Unstated,unstated,R-FABRU-PUREFIL-17-Materialdatenblatt-ASA-purefil,p. 1: Streckdehnung (ASTM D638),a3eed06fb1518066b5c87b8a22614fa959dd0e18b94d13749da7b99b73f276e9,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/17%2FMaterialdatenblatt+ASA+purefil.pdf
implausible,"Prints ""HDT-B (0,45 MPa) 80 – 90 °C E2092"" beside ""Tg 55 – 60 °C"" and ""Max temperature 55 °C"": 25-30 °C above Tg only a crystallised part could reach, and the page states no annealing.",V007474,PLA,Nanovia,PLA EF 3D850,HDT,80,°C,55,8.4,94,Not applicable,unstated,R-NANOVIA-PLA-EF-3D850,"p. 1: HDT-B (0,45 MPa)",0229aa820bf86b9ccc44e517f262a8d11141e7429aeafbf2a1b5d780ff873df9,https://nanovia.tech/en/ref/nanovia-pla-ef/
implausible,"Prints ""HDT at 0,45 MPa 80 – 90 °C"" beside ""Tg 55 – 60 °C"" and ""Max temperature 55 °C"": 25-30 °C above Tg only a crystallised part could reach, and the page states no annealing.",V007533,PLA,Nanovia,PLA VX,HDT,80,°C,55,8.4,94,Not applicable,unstated,R-NANOVIA-PLA-VX,"p. 1: HDT at 0,45 MPa",2c1bf11988f966aece4359495c92ae89562f8d50a0a051aecac4d00339185a05,https://nanovia.tech/en/ref/nanovia-pla-vx/
implausible,"Prints ""Elongation at yield (ASTM D638) 30 %"" beside yield stress 45 MPa, elongation at break 35 % and modulus 2160 MPa: an ASA yields at a few percent strain, not 30%.",V008258,ASA,Fabru,Acrylnitril-Styrol-Acrylester (ASA),Elongation at yield,30,%,5,8.4,4,Unstated,unstated,R-FABRU-16-material-datat-sheet-ASA-purefil,p. 1: Elongation at yield (ASTM D638),2c8e585a88423936ad8fd1258a3b9da602b0f936222ef86e4226fc04e8c4fad3,https://cdn02.plentyone.com/pvdtyofq45f2/propertyItems/16%2Fmaterial+datat+sheet+ASA+purefil.pdf
variant,"Prints ""Density ISO1183 23℃ g/cm³ 1.365"" (flexural modulus 3832 MPa, matte texture): beyond unfilled PLA (≈1.24), so this matte PLA carries a filler it does not name; grade Variant not set.",V008599,PLA,SUNLU,PLA Classic,Density,1365,kg/m³,1240,8.4,140,Not applicable,unstated,R-SUNLU-PLA-Classic-TDS,p. 1: Density ISO1183 23℃ g/cm3,d140af2e6529276f85cd006714659be3ddbe3cff5c14b658fb10268f76b8ab53,https://3d.nice-cdn.com/upload/file/PLA_Classic-TDS.pdf
wrong-condition,"Prints ""Charpy impact strength 184 kJ/m² ISO 179-1/1eU 25 °C, unnotched"": credible for PP, but the row's Notch is Not published and the 25 °C test temperature is not recorded.",V006035,PP,Fillamentum,PP 2320,Charpy strength,184,kJ/m²,20,8.4,4,Not applicable,unstated,R-FILLAMENTUM-Technical-Data-Sheet-PP-2320,p. 1: Charpy impact strength,4886af2bb72ffe75cf0b6fe1375b52e414cad41b890ebeeef825c2a19c521acf,https://fillamentum.com/wp-content/uploads/2020/10/Technical-Data-Sheet_PP-2320.pdf
wrong-condition,"Prints ""Elongation at break (X-Y) 34.5 ± 8.1 %"" (tensile 20.9 MPa); credible, but p. 5 printing settings and ""conditioned at room temperature for 24h"" are not recorded.",V003649,PLA,Polymaker,PolyTerra PLA,Elongation at break,34.5,%,6.3,8.3,35,XY,unstated,S-POLYCN-PolyTerra-PLA-TDS-V5-11,p. 4: Elongation at break (X-Y),6c37d968e41b23da3188689e96fbe83f00225951f0aedd63b73b0d5658e1c0c5,https://3d.nice-cdn.com/upload/file/PolyTerra_PLA_TDS_V5[11].pdf
implausible,"Prints ""Tensile Strength at Yield 10800PSI ASTM D638"" (74.5 MPa) in a block that also gives flexural modulus 935 KPSI (6.4 GPa) and peak 24.7 KPSI (170 MPa): not reachable by an unfilled PETG.",V009027,PETG,MatterHackers,PETG,Tensile yield strength,74.463408,MPa,50,8.3,21,Unstated,unstated,R-MATTERHACKERS-PRO-SERIES-4b8JqK,p. 1: Tensile Strength at Yield,8d0089004a12be6899b966326fc591fb2410baab6306f60c9f7c3c1f91e5e059,https://www.matterhackers.com/r/4b8JqK.pdf
implausible,"Prints ""Tensile Modulus X-Y 5mm/min D3638 MPa 495-592"" beside bending modulus 3193-3484 MPa: a CF-PA12 cannot be a sixth as stiff in tension. Printed also unrecorded.",V004845,PA12-CF,Eryone,PA12-CF,Tensile modulus,0.495,GPa,3.3156,-8.3,3,XY,unstated,R-ERYONE-file-manager-downLoad-path-file-manage-3828-20250903-eryone--25961c,p. 2: Tensile Modulus X-Y 5mm/min D3638 MPa,25961c78c67dfb720ef8fb97d11417375190526737ebcf98621b655513e78148,https://hub.globalso.com/b/file_manager_downLoad?path=/file_manage/3828/20250903/eryone-pa12-cf-tds.pdf
real,"Prints ""Melt Index 260 °C, 2.16 kg 32.2 ± 2.9 g/10 min""; high for PC (the sheet also prints Tm 228 °C) but within a high-flow grade; condition differs from the group's.",V002135,PC,Bambu Lab,PC,Melt mass-flow rate,32.2,g/10 min,8,8.2,13,Not applicable,unstated,B-PC-TDS,p. 2: Melt Index,578ed906bc1604e756e0d1cb5b287b2bf4377390fbf151dc6405f8d38daf551d,https://store.bblcdn.com/a52afdccddfd448583d119587122c8c5.pdf
real,"Prints ""Melt Index 260 °C, 2.16 kg 32.2 ± 2.9 g/10 min"" (another edition of the same sheet); high for PC but not beyond a high-flow grade, and the condition differs from the group's.",V007832,PC,Bambu Lab,PC,Melt mass-flow rate,32.2,g/10 min,8,8.2,13,Not applicable,unstated,B-PC-Bambu-PC-Technical-Data-Sheet,"p. 2: Melt Index 260 °C, 2.16 kg",f0d45692b13f8b602267c0ca40db67d496ad74487681ec67e98a2df9e5b6af7c,https://3d.nice-cdn.com/upload/file/Bambu_PC_Technical_Data_Sheet.pdf
implausible,"Prints ""Tensile Stress at Yield 26 MPa D 638"" beside elongation at yield 4,30%, modulus 1950 MPa and break 48 MPa: a PETG at 4.3% strain carries about twice that; same template as V003073.",V002647,PETG,Spectrum,PET-G Premium,Tensile yield strength,26,MPa,50,-8.1,21,Unstated,unstated,S-SPECTRUM-en-tds-spectrum-petg-premium,p. 1: Tensile Stress at Yield,0cd5bbc520700a69e26d64a151293df170b4c127002f5b0b53661ce4495f89b7,https://spectrumfilaments.com/wp-content/uploads/2022/05/en_tds_spectrum_petg_premium.pdf
real,"Prints ""Glass transition temperature (° C) DSC, 10 ° C/min 68 ℃"" beside Vicat 78 and HDT 67; low for PETG but within copolyester range and near the sheet's own softening figures.",V005032,PETG,Eryone,Standard PETG,Glass transition temperature,68,°C,80,-8.1,21,Not applicable,unstated,R-ERYONE-eryone-petg-tds,"p. 1: Glass transition temperature (° C) DSC, 10 ° C/min ℃",b9122607f533a22748912e0e1b26e4dabb0305415e5aeecf1b19b4844e34fffe,https://file.globalso.com/file_manage/3828/20250630/eryone-petg-tds.pdf
wrong-condition,"Prints ""Impact Strength Izod (unnotched) ISO 180 35.0 kJ/m²"" in the ""Print direction Standard XY (Flat)"" column; credible, but the printed specimen is not recorded.",V010063,HIPS,BASF Forward AM,Ultrafuse HiPS,Izod impact strength,35,kJ/m²,10.5,8.1,3,Not applicable,unstated,R-BASF-Ultrafuse-HiPS-TDS-EN-v2-2,p. 3: Impact Strength Izod (unnotched) ISO 180,2dfebed51ecdabd25bba992af7934e8409cdd9fb432bc9326c8e6bda45e26338,https://move.forward-am.com/hubfs/AES%20Documentation/Support%20Filaments/HiPS/TDS/Ultrafuse_HiPS_TDS_EN_v2.2.pdf
implausible,"Prints ""Tensile modulus 67 MPa ISO 527"" beside ""Flexural modulus 2430 MPa"" and Tg 140 °C: a rigid polymer cannot be 36 times stiffer in bending than tension.",V007544,HIPS,Nanovia,Insublend,Tensile modulus,0.067,GPa,1.85,-8,6,Unstated,unstated,R-NANOVIA-Insublend,p. 1: Tensile modulus,3c4f70a472d232bf7338dd07b6a602ba47bd15088acc3a23309a56d9e636a7f7,https://nanovia.tech/en/ref/nanovia-insublend/
real,"Prints ""Vicat softening temperature ℃ 76 ISO 306"" for an 85A TPU; a softer TPU softens lower than the 95A grades that set the group median.",V009994,TPU,Siraya Tech,Flex TPU 85A,Vicat softening temperature,76,°C,98.5,-7.6,7,Not applicable,unstated,D-SIRAYA-siraya-tech-fibreheart-flex-tpu-85a-tds,p. 1: Vicat softening temperature ℃,1cc61799062f939461d9df45f64ce965cd96a761e095ee8342e5fdf03f79c0fd,https://siraya.tech/pages/siraya-tech-fibreheart-flex-tpu-85a-tds
